City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Kanniyakumari,IN,81.64,overcast clouds,8.0833,77.5667,
507,Koungheul,SN,74.17,overcast clouds,13.9833,-14.8,
508,Turayf,SA,91.35,few clouds,31.6725,38.6637,
510,Fayaoue,NC,77.09,light rain,-20.65,166.5333,
511,Belmonte,BR,71.37,scattered clouds,-15.8631,-38.8828,
513,Santa Marta,CO,78.98,overcast clouds,11.2408,-74.199,
514,Wisconsin Rapids,US,72.21,clear sky,44.3836,-89.8174,
515,Port Hueneme,US,75.79,clear sky,34.1478,-119.1951,
516,Xapuri,BR,70.0,overcast clouds,-10.6517,-68.5044,
518,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,
519,Palmer,US,76.86,clear sky,42.1584,-72.3287,
520,Sarangani,PH,83.55,broken clouds,5.4033,125.4636,
522,Khandyga,RU,74.75,overcast clouds,62.6667,135.6,
523,Muisne,EC,73.83,overcast clouds,0.6,-80.0333,
524,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,
527,Vaitape,PF,77.13,moderate rain,-16.5167,-151.75,
532,Homestead,US,84.02,clear sky,25.4687,-80.4776,
533,Ligayan,PH,82.67,light rain,4.6533,119.4706,
534,Biak,ID,74.28,overcast clouds,-0.9131,122.8766,
537,Zuwarah,LY,79.03,clear sky,32.9312,12.082,
538,Diapaga,BF,71.65,overcast clouds,12.0708,1.7889,
539,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,
540,Praia Da Vitoria,PT,72.75,light rain,38.7333,-27.0667,
543,Sola,VU,80.78,overcast clouds,-13.8833,167.55,
544,Clyde,US,76.55,broken clouds,41.3042,-82.9752,
546,Monrovia,LR,75.47,overcast clouds,6.3005,-10.7969,
547,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,
548,Ashqelon,IL,80.49,clear sky,31.6693,34.5715,
549,Milkovo,RU,79.38,clear sky,54.7167,158.6167,
550,Acarau,BR,75.81,clear sky,-2.8856,-40.12,
554,Kant,IN,89.19,overcast clouds,27.8,79.8,
555,Navsari,IN,82.29,overcast clouds,20.9524,72.9324,
556,Alba,PL,71.47,scattered clouds,52.0324,23.1165,
559,Palu,ID,85.15,broken clouds,-0.8917,119.8707,
563,Veraval,IN,83.53,overcast clouds,20.9,70.3667,
564,Pangai,TO,77.14,light rain,-19.8,-174.35,
566,Dumka,IN,89.13,overcast clouds,24.2667,87.25,
567,Manuk Mangkaw,PH,82.09,scattered clouds,4.8,119.85,
568,Primo Tapia,MX,73.94,clear sky,32.22,-116.9172,
569,Chai Badan,TH,77.29,overcast clouds,15.2,101.1333,
570,Kampot,KH,82.45,moderate rain,10.6167,104.1833,
571,Orotukan,RU,73.92,scattered clouds,62.2667,151.7,
572,Celestun,MX,78.55,scattered clouds,20.8667,-90.4,
573,Sawakin,SD,89.74,broken clouds,19.1059,37.3321,
574,Xam Nua,LA,71.28,overcast clouds,20.4197,104.0439,
578,Gazimurskiy Zavod,RU,73.98,few clouds,51.5461,118.3266,
579,Borovichi,RU,73.49,broken clouds,58.3878,33.9155,
581,Ocos,GT,73.58,broken clouds,14.5094,-92.1933,
582,Maningrida,AU,87.69,scattered clouds,-12.0667,134.2667,
583,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,
584,Guarapari,BR,73.89,scattered clouds,-20.6667,-40.4975,
586,Zhezkazgan,KZ,76.98,clear sky,47.8043,67.7144,
587,Bolobo,CD,71.74,scattered clouds,-2.1667,16.2333,
588,Jalor,IN,87.06,broken clouds,25.35,72.6167,
589,Sretensk,RU,74.37,light rain,52.2453,117.7093,
591,Kantang,TH,82.9,light rain,7.4054,99.5156,
593,Kholmogory,RU,72.18,clear sky,64.2229,41.656,
594,Kirby,US,85.08,broken clouds,29.4633,-98.3856,
596,Laguna,US,78.46,clear sky,38.421,-121.4238,
597,Ayagoz,KZ,73.09,clear sky,47.9714,80.4392,
